timestamp,cpu_percent,cpu_percent_roll_mean,cpu_percent_roll_std,cpu_freq_mhz,cpu_freq_mhz_roll_mean,cpu_freq_mhz_roll_std,mem_percent,mem_percent_roll_mean,mem_percent_roll_std,mem_available_mb,mem_available_mb_roll_mean,mem_available_mb_roll_std,disk_read_bytes_sec,disk_read_bytes_sec_roll_mean,disk_read_bytes_sec_roll_std,disk_write_bytes_sec,disk_write_bytes_sec_roll_mean,disk_write_bytes_sec_roll_std,net_sent_bytes_sec,net_sent_bytes_sec_roll_mean,net_sent_bytes_sec_roll_std,net_recv_bytes_sec,net_recv_bytes_sec_roll_mean,net_recv_bytes_sec_roll_std,open_sockets,open_sockets_roll_mean,open_sockets_roll_std,num_processes,num_processes_roll_mean,num_processes_roll_std,cpu_core_max,cpu_core_max_roll_mean,cpu_core_max_roll_std
2026-05-16T15:34:38,5.3,8.059999999999999,2.7702707448911923,1400.0,1460.0,120.0,82.5,82.47999999999999,0.039999999999997725,2744.578125,2748.27109375,4.899721098767063,0.0,1596.146335366247,3192.292670732494,382836.46678487194,319941.00952769705,303097.14433729084,774.2914765617141,18234.308973721072,34654.29785875061,824.4679254875687,3722.99728095964,3812.229553523701,205.0,205.2,0.4,352.0,352.0,0.0,23.9,35.06,8.112607472323557
2026-05-16T15:34:39,5.0,7.38,3.010249159122879,1400.0,1460.0,120.0,82.5,82.5,0.0,2747.71875,2746.22265625,1.0457404066243567,0.0,1596.146335366247,3192.292670732494,105183.35086147803,317584.70673019317,304707.4565414844,0.0,726.8727312575394,574.8225335335127,0.0,1803.0661977929205,2590.767914850788,205.0,205.0,0.0,352.0,352.0,0.0,23.9,31.52,8.344914619095873
2026-05-16T15:34:40,8.3,6.42,1.3287588193498476,1400.0,1460.0,120.0,82.3,82.46000000000001,0.08000000000000114,2783.078125,2753.6890625,14.729767265682506,0.0,1596.146335366247,3192.292670732494,83183.73522989087,288420.17942208995,318458.16557608155,704.9960819218569,702.1845930661746,572.5767263325304,424.54496565664635,500.6352994415016,353.52257675132984,205.0,205.0,0.0,351.0,351.8,0.4,44.0,31.560000000000002,8.403951451549444
2026-05-16T15:34:41,8.6,6.9799999999999995,1.5249918032566603,1400.0,1460.0,120.0,82.2,82.4,0.12649110640673472,2788.62109375,2762.1515625,19.4552624014024,0.0,1596.146335366247,3192.292670732494,267221.7136359747,341864.52214928484,286377.26945989276,5522.569074522681,1740.9552858566458,1966.7549539719805,8306.778955937225,2104.636556796498,3119.32468507531,205.0,205.0,0.0,351.0,351.6,0.48989794855663565,29.2,32.04,8.18403323551414
2026-05-16T15:34:42,8.7,7.1800000000000015,1.6654128617252841,1700.0,1460.0,120.0,82.2,82.34,0.13564659966250436,2786.97265625,2770.19375,19.740271937884764,63724.94347782473,12744.988695564945,25489.97739112989,106042.28875606772,188893.51105365664,117299.14753130332,313769.69659467816,64154.31064553688,124823.18690455331,2491.200335543624,2409.398436525013,3067.3323065162176,205.0,205.0,0.0,351.0,351.4,0.48989794855663565,31.4,30.48,7.373845672374762
2026-05-16T15:34:43,11.1,8.34,1.9479219696897512,1400.0,1460.0,120.0,82.3,82.3,0.10954451150103219,2776.69921875,2776.61796875,15.021315705926341,0.0,12744.988695564945,25489.97739112989,1199069.2391751558,352140.0655317134,428576.57283643197,6964.890370824913,65392.430424389524,124217.61405179965,7227.178908061902,3689.9406330398792,3450.8752441900792,205.0,205.0,0.0,351.0,351.2,0.4,44.6,34.62,8.273427343006041
2026-05-16T15:34:44,26.0,12.54,6.804292762660936,1400.0,1460.0,120.0,82.4,82.28,0.07483314773547912,2762.33203125,2779.540625,9.533238650120758,115343.48829356942,35813.686354278834,46801.47019393185,107388.76496297843,352581.1483520135,428323.24274085497,58820.479217596374,77156.52626790879,120187.46110504837,25268.28741560533,8743.598116160945,8761.904107722086,204.0,204.8,0.4,351.0,351.0,0.0,56.3,41.1,9.873196037757985
2026-05-16T15:34:45,15.6,14.0,6.514905985507389,1400.0,1460.0,120.0,82.4,82.3,0.08944271909999287,2765.06640625,2775.93828125,10.830677684317012,0.0,35813.686354278834,46801.47019393185,60729.00275629242,348090.20185729384,431232.15720770386,31460.197877031034,83307.56662693064,116858.2650115293,12483.356739734803,11155.360470976577,7740.167684562606,204.0,204.6,0.4898979485566356,351.0,351.0,0.0,45.5,41.4,9.97897790357309
2026-05-16T15:34:46,18.5,15.98,6.0614849665737855,1400.0,1460.0,120.0,82.3,82.32000000000001,0.07483314773548065,2771.93359375,2772.60078125,8.786434468205092,0.0,35813.686354278834,46801.47019393185,78721.35812885268,310390.1307558694,444683.9893293174,4127.1466746995775,83028.48214696601,117045.21701152324,14883.063371673195,12470.61735412377,7703.023144849611,204.0,204.4,0.4898979485566356,351.0,351.0,0.0,44.8,44.52,7.8987087552333515
2026-05-16T15:34:47,13.0,16.84,5.213290707413122,1400.0,1400.0,0.0,82.3,82.34,0.04898979485566774,2773.69921875,2769.94609375,5.393071455725624,267653.6707885999,76599.43181643386,105456.38245771424,1212930.534226696,531767.7798499952,550726.8058855098,81334.21110418791,36541.38504886796,29846.358749080857,10679.540633509096,14108.285413716867,6113.79156124557,206.0,204.6,0.8,351.0,351.0,0.0,46.5,47.54,4.430169296990804
